id,title,intro,poster,pubdate,url,rating,genres,star,comment,tags,star_time,card
35410323,国民死刑投票,,https://dou.img.lithub.cc/movie/35410323.jpg,2023-08-10(韩国),https://movie.douban.com/subject/35410323/,7.4,"剧情,惊悚",3,,,2023-11-11 08:37:05,2023 / 韩国 / 剧情 惊悚 / 朴信宇 / 朴海镇 朴成雄
35765480,八角笼中,,https://dou.img.lithub.cc/movie/35765480.jpg,2023-07-06(中国大陆),https://movie.douban.com/subject/35765480/,7.3,"剧情,动作",2,,,2023-10-21 22:24:28,2023 / 中国大陆 / 剧情 动作 / 王宝强 / 王宝强 陈永胜
30454682,自由之声,,https://dou.img.lithub.cc/movie/30454682.jpg,2023-07-04(美国),https://movie.douban.com/subject/30454682/,7.8,"动作,传记,犯罪",3,,,2023-10-21 22:23:45,2023 / 美国 / 动作 传记 犯罪 / 亚历杭德罗·戈麦斯·蒙特维尔德 / 吉姆·卡维泽 比尔·坎普
36358109,再见爱人 第三季,,https://dou.img.lithub.cc/movie/36358109.jpg,2023-09-04(中国大陆),https://movie.douban.com/subject/36358109/,6.9,真人秀,4,当风光片看，五星！,,2023-10-21 15:23:53,2023 / 中国大陆 / 真人秀 / 刘乐 涂涵 / 胡彦斌 孙怡
33447633,坚如磐石,,https://dou.img.lithub.cc/movie/33447633.jpg,2023-09-28(中国大陆),https://movie.douban.com/subject/33447633/,6.3,"剧情,动作,犯罪",2,然后呢？,,2023-10-04 16:10:56,2023 / 中国大陆 / 剧情 动作 犯罪 / 张艺谋 / 雷佳音 张国立
35206436,超异能族,,https://dou.img.lithub.cc/movie/35206436.jpg,2023-08-09(韩国),https://movie.douban.com/subject/35206436/,8.9,"动作,爱情,悬疑",4,,,2023-10-04 15:53:58,2023 / 韩国 / 动作 爱情 悬疑 奇幻 / 朴仁载 朴允书 / 柳承龙 韩孝周
35901878,疯狂元素城,,https://dou.img.lithub.cc/movie/35901878.jpg,2023-06-16(美国/中国大陆),https://movie.douban.com/subject/35901878/,7.1,"剧情,喜剧,科幻",5,现代童话，虽模式化,,2023-09-10 16:00:09,2023 / 美国 / 剧情 喜剧 科幻 动画 奇幻 冒险 / 彼得·孙 / 莉娅·刘易斯 马莫多·阿西
35733431,不要见怪,,https://dou.img.lithub.cc/movie/35733431.jpg,2023-06-15(中国香港),https://movie.douban.com/subject/35733431/,6.5,"喜剧,爱情",2,海里那场，哦，吓着小弟,,2023-09-10 15:59:31,2023 / 美国 / 喜剧 爱情 / 吉恩·斯图普尼兹基 / 詹妮弗·劳伦斯 安德鲁·巴特·费尔德曼
34963356,过往人生,,https://dou.img.lithub.cc/movie/34963356.jpg,2023-01-21(圣丹斯电影节),https://movie.douban.com/subject/34963356/,7.6,"剧情,爱情",4,淡淡的回忆,,2023-09-10 15:58:26,2023 / 美国 韩国 / 剧情 爱情 / 席琳·宋 / 格蕾塔·李 刘台午
35587662,装腔启示录,,https://dou.img.lithub.cc/movie/35587662.jpg,2023-08-18(中国大陆),https://movie.douban.com/subject/35587662/,8.1,"剧情,爱情",5,难得不作剧,,2023-09-10 15:55:40,2023 / 中国大陆 / 剧情 爱情 / 李漠 / 蔡文静 韩东君
36253896,十三邀 第七季,,https://dou.img.lithub.cc/movie/36253896.jpg,2023-03-01(中国大陆),https://movie.douban.com/subject/36253896/,9.4,脱口秀,5,,,2023-09-03 14:27:15,2023 / 中国大陆 / 脱口秀 / 许知远 蔡皋
36212784,别班,,https://dou.img.lithub.cc/movie/36212784.jpg,2023-07-16(日本),https://movie.douban.com/subject/36212784/,6.7,剧情,2,好乱,,2023-08-25 15:57:32,2023 / 日本 / 剧情 / 福泽克雄 / 堺雅人 阿部宽
35681326,假面女郎,,https://dou.img.lithub.cc/movie/35681326.jpg,2023-08-18(韩国),https://movie.douban.com/subject/35681326/,7.4,"喜剧,惊悚,犯罪",4,大爱黑白片段,,2023-08-21 08:04:03,2023 / 韩国 / 喜剧 惊悚 犯罪 / 金容勋 / 高贤贞 林珍娜
35013359,扫毒3：人在天涯,,https://dou.img.lithub.cc/movie/35013359.jpg,2023-07-06(中国大陆),https://movie.douban.com/subject/35013359/,5.5,"剧情,动作,犯罪",2,被台词笑到。,,2023-08-14 00:20:50,2023 / 中国大陆 中国香港 / 剧情 动作 犯罪 / 邱礼涛 / 刘青云 古天乐
35698284,关于我和鬼变成家人的那件事,,https://dou.img.lithub.cc/movie/35698284.jpg,2023-02-10(中国台湾),https://movie.douban.com/subject/35698284/,8.1,"喜剧,悬疑,同性",4,伟豪渣得好！,,2023-08-13 00:28:34,2022 / 中国台湾 / 喜剧 悬疑 同性 奇幻 / 程伟豪 / 许光汉 林柏宏
30325398,锵锵行天下 第一季,,https://dou.img.lithub.cc/movie/30325398.jpg,2018-09-16(中国大陆),https://movie.douban.com/subject/30325398/,9.1,脱口秀,5,世界那么大，值得出去看一看。,,2023-08-06 23:26:21,2018 / 中国大陆 / 脱口秀 / 温姬彦 苏雷 李丹彪 / 窦文涛 许子东
36424353,海妖的呼唤：火之岛生存战,,https://dou.img.lithub.cc/movie/36424353.jpg,2023-05-30(韩国),https://movie.douban.com/subject/36424353/,9.5,真人秀,5,只有敬佩！,,2023-08-03 23:32:08,2023 / 韩国 / 真人秀 / 李水连
